Id;ProductID;LanguageID;Description;IsDeleted;CreatedOn;CreatedUser;ModifiedOn;ModifiedUser
82;21;5;WASTER TONER CARTRIDGE - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
83;21;7;WASTER TONER CARTRIDGE - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
84;21;8;WASTER TONER CARTRIDGE - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
85;22;2;TRANSFER ROLL - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
86;22;3;TRANSFER ROLL - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
87;22;4;TRANSFER ROLL - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
88;22;5;TRANSFER ROLL - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
89;22;7;TRANSFER ROLL - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
90;22;8;TRANSFER ROLL - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
102;39;2;DRUM BLACK - WC 5325;0;2024-03-12 17:31:15.493;0;NULL;NULL
103;39;3;DRUM BLACK - WC 5325;0;2024-03-12 17:31:15.493;0;NULL;NULL
104;39;4;DRUM BLACK - WC 5325;0;2024-03-12 17:31:15.493;0;NULL;NULL
105;39;5;DRUM BLACK - WC 5325;0;2024-03-12 17:31:15.493;0;NULL;NULL
106;39;7;DRUM BLACK - WC 5325;0;2024-03-12 17:31:15.493;0;NULL;NULL
107;39;8;DRUM BLACK - WC 5325;0;2024-03-12 17:31:15.493;0;NULL;NULL
108;40;2;DRUM CARTRIDGE C/Y/M/K - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
109;40;3;DRUM CARTRIDGE C/Y/M/K - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
110;40;4;DRUM CARTRIDGE C/Y/M/K - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
111;40;5;DRUM CARTRIDGE C/Y/M/K - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
112;40;7;DRUM CARTRIDGE C/Y/M/K - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
113;40;8;DRUM CARTRIDGE C/Y/M/K - WC 7855;0;2024-03-12 17:31:15.493;0;NULL;NULL
114;41;2;PRINT CARTRIDGE - WC 5955;0;2024-03-12 17:31:15.493;0;NULL;NULL
115;41;3;PRINT CARTRIDGE - WC 5955;0;2024-03-12 17:31:15.493;0;NULL;NULL
116;41;4;PRINT CARTRIDGE - WC 5955;0;2024-03-12 17:31:15.493;0;NULL;NULL
117;41;5;PRINT CARTRIDGE - WC 5955;0;2024-03-12 17:31:15.493;0;NULL;NULL
118;41;7;PRINT CARTRIDGE - WC 5955;0;2024-03-12 17:31:15.493;0;NULL;NULL
119;41;8;PRINT CARTRIDGE - WC 5955;0;2024-03-12 17:31:15.493;0;NULL;NULL
1452;11185;2;FUSER FOR WORKCENTRE 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1453;11185;3;FUSER FOR WORKCENTRE 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1454;11185;4;FUSER FOR WORKCENTRE 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1455;11185;5;FUSER FOR WORKCENTRE 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1456;11185;7;FUSER FOR WORKCENTRE 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1457;11185;8;FUSER FOR WORKCENTRE 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1458;11186;2;FUSER - WC 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1459;11186;3;FUSER - WC 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1460;11186;4;FUSER - WC 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1461;11186;5;FUSER - WC 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1462;11186;7;FUSER - WC 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1463;11186;8;FUSER - WC 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1464;11187;2;FUSER - WC 5955;0;2024-03-12 17:31:15.493;0;NULL;NULL
1465;11187;3;FUSER - WC 5955;0;2024-03-12 17:31:15.493;0;NULL;NULL
1466;11187;4;FUSER - WC 5955;0;2024-03-12 17:31:15.493;0;NULL;NULL
1467;11187;5;FUSER - WC 5955;0;2024-03-12 17:31:15.493;0;NULL;NULL
1468;11187;7;FUSER - WC 5955;0;2024-03-12 17:31:15.493;0;NULL;NULL
1469;11187;8;FUSER - WC 5955;0;2024-03-12 17:31:15.493;0;NULL;NULL
1530;11219;2;PHOTORECEPTOR - WC 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1531;11219;3;PHOTORECEPTOR - WC 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1532;11219;4;PHOTORECEPTOR - WC 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1533;11219;5;PHOTORECEPTOR - WC 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1534;11219;7;PHOTORECEPTOR - WC 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
1535;11219;8;PHOTORECEPTOR - WC 5855;0;2024-03-12 17:31:15.493;0;NULL;NULL
